Observation,Measure,Measure,Area Code,Area,Year,Quarter
95330,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2003,Q1
101049,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2003,Q2
117197,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2003,Q3
123760,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2003,Q4
120464,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2004,Q1
134924,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2004,Q2
142820,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2004,Q3
141557,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2004,Q4
140615,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2005,Q1
144448,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2005,Q2
150949,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2005,Q3
145965,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2005,Q4
144784,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2006,Q1
153677,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2006,Q2
161963,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2006,Q3
165278,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2006,Q4
161497,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2007,Q1
164761,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2007,Q2
173014.9612597592,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2007,Q3
174048.9183854679,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2007,Q4
168294.38360825312,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2008,Q1
171989.57831055054,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2008,Q2
173083.7043332061,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2008,Q3
170666.33328202565,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2008,Q4
166556.24133194383,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2009,Q1
172660.83717242733,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2009,Q2
178763.8938540225,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2009,Q3
184729.89173236908,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2009,Q4
183407.5749759381,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2010,Q1
180633.4523598023,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2010,Q2
185151.4860096361,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2010,Q3
179615.9818096205,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2010,Q4
169170.76337096002,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2011,Q1
170231.96983146787,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2011,Q2
175932.808769503,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2011,Q3
167664.74333333332,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2011,Q4
168005.63966108006,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2012,Q1
168462.93643139608,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2012,Q2
172328.8940666667,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2012,Q3
171508.51830000003,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2012,Q4
163926.56365368192,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2013,Q1
167024.25841212392,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2013,Q2
176241.78546056876,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2013,Q3
177620.9974393266,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2013,Q4
173729.5074,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2014,Q1
177453.71707065703,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2014,Q2
183614.36482700112,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2014,Q3
185494.66666666666,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2014,Q4
177484.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2015,Q1
181806.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2015,Q2
192705.66666666666,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2015,Q3
189876.66666666666,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2015,Q4
187372.5342243278,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2016,Q1
181047.87004054082,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2016,Q2
192853.455376722,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2016,Q3
191437.73246922527,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2016,Q4
178856.7113392979,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2017,Q1
185420.52677271506,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2017,Q2
192078.2510287188,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2017,Q3
186546.3259597555,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2017,Q4
184562.93533675032,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2018,Q1
185089.17028881438,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2018,Q2
194355.88710694315,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2018,Q3
189952.44966168664,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2018,Q4
185196.35565958475,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2019,Q1
186738.66666666666,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2019,Q2
195965,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2019,Q3
196531.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2019,Q4
192390.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2020,Q1
185104.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2020,Q2
209869.66666666666,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2020,Q3
228023,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2020,Q4
239239,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2021,Q1
236425.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2021,Q2
207437.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2021,Q3
210483.66666666666,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2021,Q4
222412.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2022,Q1
226027.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2022,Q2
240207.33333333334,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2022,Q3
237255.66666666666,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2022,Q4
221475,Other dwellings,Other dwellings,E12000003,Yorkshire and the Humber,2023,Q1
50778,Other dwellings,Other dwellings,E12000004,East Midlands,1992,Q2
54338,Other dwellings,Other dwellings,E12000004,East Midlands,1992,Q3
49975,Other dwellings,Other dwellings,E12000004,East Midlands,1992,Q4
49419,Other dwellings,Other dwellings,E12000004,East Midlands,1993,Q1
50240,Other dwellings,Other dwellings,E12000004,East Midlands,1993,Q2
50907,Other dwellings,Other dwellings,E12000004,East Midlands,1993,Q3
51612,Other dwellings,Other dwellings,E12000004,East Midlands,1993,Q4
50256,Other dwellings,Other dwellings,E12000004,East Midlands,1994,Q1
51800,Other dwellings,Other dwellings,E12000004,East Midlands,1994,Q2
52940,Other dwellings,Other dwellings,E12000004,East Midlands,1994,Q3
52405,Other dwellings,Other dwellings,E12000004,East Midlands,1994,Q4
49240,Other dwellings,Other dwellings,E12000004,East Midlands,1995,Q1
52390,Other dwellings,Other dwellings,E12000004,East Midlands,1995,Q2
53204,Other dwellings,Other dwellings,E12000004,East Midlands,1995,Q3
52367,Other dwellings,Other dwellings,E12000004,East Midlands,1995,Q4
51270,Other dwellings,Other dwellings,E12000004,East Midlands,1996,Q1
55597,Other dwellings,Other dwellings,E12000004,East Midlands,1996,Q2
58304,Other dwellings,Other dwellings,E12000004,East Midlands,1996,Q3
54424,Other dwellings,Other dwellings,E12000004,East Midlands,1996,Q4
55622,Other dwellings,Other dwellings,E12000004,East Midlands,1997,Q1
59107,Other dwellings,Other dwellings,E12000004,East Midlands,1997,Q2
57239,Other dwellings,Other dwellings,E12000004,East Midlands,1997,Q3
60181,Other dwellings,Other dwellings,E12000004,East Midlands,1997,Q4
57781,Other dwellings,Other dwellings,E12000004,East Midlands,1998,Q1
61433,Other dwellings,Other dwellings,E12000004,East Midlands,1998,Q2
65912,Other dwellings,Other dwellings,E12000004,East Midlands,1998,Q3
61023,Other dwellings,Other dwellings,E12000004,East Midlands,1998,Q4
60399,Other dwellings,Other dwellings,E12000004,East Midlands,1999,Q1
69847,Other dwellings,Other dwellings,E12000004,East Midlands,1999,Q2
71951,Other dwellings,Other dwellings,E12000004,East Midlands,1999,Q3
66140,Other dwellings,Other dwellings,E12000004,East Midlands,1999,Q4
69561,Other dwellings,Other dwellings,E12000004,East Midlands,2000,Q1
74825,Other dwellings,Other dwellings,E12000004,East Midlands,2000,Q2
76518,Other dwellings,Other dwellings,E12000004,East Midlands,2000,Q3
74924,Other dwellings,Other dwellings,E12000004,East Midlands,2000,Q4
76824,Other dwellings,Other dwellings,E12000004,East Midlands,2001,Q1
82242,Other dwellings,Other dwellings,E12000004,East Midlands,2001,Q2
84518,Other dwellings,Other dwellings,E12000004,East Midlands,2001,Q3
86017,Other dwellings,Other dwellings,E12000004,East Midlands,2001,Q4
87873,Other dwellings,Other dwellings,E12000004,East Midlands,2002,Q1
97984,Other dwellings,Other dwellings,E12000004,East Midlands,2002,Q2
103457,Other dwellings,Other dwellings,E12000004,East Midlands,2002,Q3
110223,Other dwellings,Other dwellings,E12000004,East Midlands,2002,Q4
109990,Other dwellings,Other dwellings,E12000004,East Midlands,2003,Q1
114469,Other dwellings,Other dwellings,E12000004,East Midlands,2003,Q2
138366,Other dwellings,Other dwellings,E12000004,East Midlands,2003,Q3
139868,Other dwellings,Other dwellings,E12000004,East Midlands,2003,Q4
138788,Other dwellings,Other dwellings,E12000004,East Midlands,2004,Q1
149285,Other dwellings,Other dwellings,E12000004,East Midlands,2004,Q2
156585,Other dwellings,Other dwellings,E12000004,East Midlands,2004,Q3
160399,Other dwellings,Other dwellings,E12000004,East Midlands,2004,Q4
159426,Other dwellings,Other dwellings,E12000004,East Midlands,2005,Q1
156600,Other dwellings,Other dwellings,E12000004,East Midlands,2005,Q2
162809,Other dwellings,Other dwellings,E12000004,East Midlands,2005,Q3
155614,Other dwellings,Other dwellings,E12000004,East Midlands,2005,Q4
153792,Other dwellings,Other dwellings,E12000004,East Midlands,2006,Q1
157522,Other dwellings,Other dwellings,E12000004,East Midlands,2006,Q2
168720,Other dwellings,Other dwellings,E12000004,East Midlands,2006,Q3
169502,Other dwellings,Other dwellings,E12000004,East Midlands,2006,Q4
167693,Other dwellings,Other dwellings,E12000004,East Midlands,2007,Q1
170426,Other dwellings,Other dwellings,E12000004,East Midlands,2007,Q2
179528.44523793925,Other dwellings,Other dwellings,E12000004,East Midlands,2007,Q3
180505.9582724534,Other dwellings,Other dwellings,E12000004,East Midlands,2007,Q4
177395.45170681344,Other dwellings,Other dwellings,E12000004,East Midlands,2008,Q1
176081.21171222383,Other dwellings,Other dwellings,E12000004,East Midlands,2008,Q2
178678.53051035092,Other dwellings,Other dwellings,E12000004,East Midlands,2008,Q3
171675.31126783616,Other dwellings,Other dwellings,E12000004,East Midlands,2008,Q4
168668.79013208943,Other dwellings,Other dwellings,E12000004,East Midlands,2009,Q1
167120.16102752715,Other dwellings,Other dwellings,E12000004,East Midlands,2009,Q2
177281.4919162266,Other dwellings,Other dwellings,E12000004,East Midlands,2009,Q3
176687.67529669506,Other dwellings,Other dwellings,E12000004,East Midlands,2009,Q4
184443.93349553194,Other dwellings,Other dwellings,E12000004,East Midlands,2010,Q1
185615.6437841855,Other dwellings,Other dwellings,E12000004,East Midlands,2010,Q2
190252.18520009375,Other dwellings,Other dwellings,E12000004,East Midlands,2010,Q3
182416.95353539762,Other dwellings,Other dwellings,E12000004,East Midlands,2010,Q4
178977.8832784671,Other dwellings,Other dwellings,E12000004,East Midlands,2011,Q1
174159.27701616104,Other dwellings,Other dwellings,E12000004,East Midlands,2011,Q2
183033.63246845736,Other dwellings,Other dwellings,E12000004,East Midlands,2011,Q3
178670.90666666665,Other dwellings,Other dwellings,E12000004,East Midlands,2011,Q4
173152.19922310198,Other dwellings,Other dwellings,E12000004,East Midlands,2012,Q1
172605.44377923326,Other dwellings,Other dwellings,E12000004,East Midlands,2012,Q2
176714.27686666665,Other dwellings,Other dwellings,E12000004,East Midlands,2012,Q3
177706151333333,Other dwellings,Other dwellings,E12000004,East Midlands,2012,Q4
171109.64602739472,Other dwellings,Other dwellings,E12000004,East Midlands,2013,Q1
172289.46845800223,Other dwellings,Other dwellings,E12000004,East Midlands,2013,Q2
181939.95207766257,Other dwellings,Other dwellings,E12000004,East Midlands,2013,Q3
180301.69815511745,Other dwellings,Other dwellings,E12000004,East Midlands,2013,Q4
178851.11833333332,Other dwellings,Other dwellings,E12000004,East Midlands,2014,Q1
182647.31668430427,Other dwellings,Other dwellings,E12000004,East Midlands,2014,Q2
193177.34582091818,Other dwellings,Other dwellings,E12000004,East Midlands,2014,Q3
186436,Other dwellings,Other dwellings,E12000004,East Midlands,2014,Q4
188356,Other dwellings,Other dwellings,E12000004,East Midlands,2015,Q1
192393,Other dwellings,Other dwellings,E12000004,East Midlands,2015,Q2
201106.66666666666,Other dwellings,Other dwellings,E12000004,East Midlands,2015,Q3
198980.66666666666,Other dwellings,Other dwellings,E12000004,East Midlands,2015,Q4
201078.42504069823,Other dwellings,Other dwellings,E12000004,East Midlands,2016,Q1
192952.20245148,Other dwellings,Other dwellings,E12000004,East Midlands,2016,Q2
208468.67959649698,Other dwellings,Other dwellings,E12000004,East Midlands,2016,Q3
206090.4582957359,Other dwellings,Other dwellings,E12000004,East Midlands,2016,Q4
197969.45334959505,Other dwellings,Other dwellings,E12000004,East Midlands,2017,Q1
202414.91356275705,Other dwellings,Other dwellings,E12000004,East Midlands,2017,Q2
210889.60189353957,Other dwellings,Other dwellings,E12000004,East Midlands,2017,Q3
209306.82355669094,Other dwellings,Other dwellings,E12000004,East Midlands,2017,Q4
206066.51440715409,Other dwellings,Other dwellings,E12000004,East Midlands,2018,Q1
210825.74560039747,Other dwellings,Other dwellings,E12000004,East Midlands,2018,Q2
218837.42244044668,Other dwellings,Other dwellings,E12000004,East Midlands,2018,Q3
216086.3818791695,Other dwellings,Other dwellings,E12000004,East Midlands,2018,Q4
209083.69964243137,Other dwellings,Other dwellings,E12000004,East Midlands,2019,Q1
213010.33333333334,Other dwellings,Other dwellings,E12000004,East Midlands,2019,Q2
216630.66666666666,Other dwellings,Other dwellings,E12000004,East Midlands,2019,Q3
218677,Other dwellings,Other dwellings,E12000004,East Midlands,2019,Q4
212732,Other dwellings,Other dwellings,E12000004,East Midlands,2020,Q1
211436.66666666666,Other dwellings,Other dwellings,E12000004,East Midlands,2020,Q2
237630.33333333334,Other dwellings,Other dwellings,E12000004,East Midlands,2020,Q3
255847.66666666666,Other dwellings,Other dwellings,E12000004,East Midlands,2020,Q4
269545,Other dwellings,Other dwellings,E12000004,East Midlands,2021,Q1
262652,Other dwellings,Other dwellings,E12000004,East Midlands,2021,Q2
236957.33333333334,Other dwellings,Other dwellings,E12000004,East Midlands,2021,Q3
245029.33333333334,Other dwellings,Other dwellings,E12000004,East Midlands,2021,Q4
252663,Other dwellings,Other dwellings,E12000004,East Midlands,2022,Q1
262859,Other dwellings,Other dwellings,E12000004,East Midlands,2022,Q2
274071.6666666667,Other dwellings,Other dwellings,E12000004,East Midlands,2022,Q3
273430,Other dwellings,Other dwellings,E12000004,East Midlands,2022,Q4
256233.33333333334,Other dwellings,Other dwellings,E12000004,East Midlands,2023,Q1
57987,Other dwellings,Other dwellings,E12000005,West Midlands,1992,Q2
56739,Other dwellings,Other dwellings,E12000005,West Midlands,1992,Q3
54411,Other dwellings,Other dwellings,E12000005,West Midlands,1992,Q4
57638,Other dwellings,Other dwellings,E12000005,West Midlands,1993,Q1
54600,Other dwellings,Other dwellings,E12000005,West Midlands,1993,Q2
56633,Other dwellings,Other dwellings,E12000005,West Midlands,1993,Q3
58273,Other dwellings,Other dwellings,E12000005,West Midlands,1993,Q4
58178,Other dwellings,Other dwellings,E12000005,West Midlands,1994,Q1
55662,Other dwellings,Other dwellings,E12000005,West Midlands,1994,Q2
57056,Other dwellings,Other dwellings,E12000005,West Midlands,1994,Q3
57079,Other dwellings,Other dwellings,E12000005,West Midlands,1994,Q4
56925,Other dwellings,Other dwellings,E12000005,West Midlands,1995,Q1
60275,Other dwellings,Other dwellings,E12000005,West Midlands,1995,Q2
60336,Other dwellings,Other dwellings,E12000005,West Midlands,1995,Q3
59415,Other dwellings,Other dwellings,E12000005,West Midlands,1995,Q4
58041,Other dwellings,Other dwellings,E12000005,West Midlands,1996,Q1
64299,Other dwellings,Other dwellings,E12000005,West Midlands,1996,Q2
61928,Other dwellings,Other dwellings,E12000005,West Midlands,1996,Q3
62764,Other dwellings,Other dwellings,E12000005,West Midlands,1996,Q4
62193,Other dwellings,Other dwellings,E12000005,West Midlands,1997,Q1
63609,Other dwellings,Other dwellings,E12000005,West Midlands,1997,Q2
65189,Other dwellings,Other dwellings,E12000005,West Midlands,1997,Q3
68029,Other dwellings,Other dwellings,E12000005,West Midlands,1997,Q4
66835,Other dwellings,Other dwellings,E12000005,West Midlands,1998,Q1
67864,Other dwellings,Other dwellings,E12000005,West Midlands,1998,Q2
71478,Other dwellings,Other dwellings,E12000005,West Midlands,1998,Q3
70294,Other dwellings,Other dwellings,E12000005,West Midlands,1998,Q4
68666,Other dwellings,Other dwellings,E12000005,West Midlands,1999,Q1
73711,Other dwellings,Other dwellings,E12000005,West Midlands,1999,Q2
80306,Other dwellings,Other dwellings,E12000005,West Midlands,1999,Q3
77734,Other dwellings,Other dwellings,E12000005,West Midlands,1999,Q4
73596,Other dwellings,Other dwellings,E12000005,West Midlands,2000,Q1
85236,Other dwellings,Other dwellings,E12000005,West Midlands,2000,Q2
88473,Other dwellings,Other dwellings,E12000005,West Midlands,2000,Q3
89203,Other dwellings,Other dwellings,E12000005,West Midlands,2000,Q4
84619,Other dwellings,Other dwellings,E12000005,West Midlands,2001,Q1
92147,Other dwellings,Other dwellings,E12000005,West Midlands,2001,Q2
102136,Other dwellings,Other dwellings,E12000005,West Midlands,2001,Q3
94650,Other dwellings,Other dwellings,E12000005,West Midlands,2001,Q4
91326,Other dwellings,Other dwellings,E12000005,West Midlands,2002,Q1
104007,Other dwellings,Other dwellings,E12000005,West Midlands,2002,Q2
112780,Other dwellings,Other dwellings,E12000005,West Midlands,2002,Q3
120232,Other dwellings,Other dwellings,E12000005,West Midlands,2002,Q4
112254,Other dwellings,Other dwellings,E12000005,West Midlands,2003,Q1
126225,Other dwellings,Other dwellings,E12000005,West Midlands,2003,Q2
142383,Other dwellings,Other dwellings,E12000005,West Midlands,2003,Q3
144593,Other dwellings,Other dwellings,E12000005,West Midlands,2003,Q4
143939,Other dwellings,Other dwellings,E12000005,West Midlands,2004,Q1
154785,Other dwellings,Other dwellings,E12000005,West Midlands,2004,Q2
166483,Other dwellings,Other dwellings,E12000005,West Midlands,2004,Q3
166899,Other dwellings,Other dwellings,E12000005,West Midlands,2004,Q4
160798,Other dwellings,Other dwellings,E12000005,West Midlands,2005,Q1
167632,Other dwellings,Other dwellings,E12000005,West Midlands,2005,Q2
171318,Other dwellings,Other dwellings,E12000005,West Midlands,2005,Q3
163609,Other dwellings,Other dwellings,E12000005,West Midlands,2005,Q4
164784,Other dwellings,Other dwellings,E12000005,West Midlands,2006,Q1
170465,Other dwellings,Other dwellings,E12000005,West Midlands,2006,Q2
183241,Other dwellings,Other dwellings,E12000005,West Midlands,2006,Q3
185564,Other dwellings,Other dwellings,E12000005,West Midlands,2006,Q4
179365,Other dwellings,Other dwellings,E12000005,West Midlands,2007,Q1
180790,Other dwellings,Other dwellings,E12000005,West Midlands,2007,Q2
189862.25261297752,Other dwellings,Other dwellings,E12000005,West Midlands,2007,Q3
187049.2154088827,Other dwellings,Other dwellings,E12000005,West Midlands,2007,Q4
181660.59356818566,Other dwellings,Other dwellings,E12000005,West Midlands,2008,Q1
183389.40638479555,Other dwellings,Other dwellings,E12000005,West Midlands,2008,Q2
190123.3292745416,Other dwellings,Other dwellings,E12000005,West Midlands,2008,Q3
185000.50109688556,Other dwellings,Other dwellings,E12000005,West Midlands,2008,Q4
178924.68485929,Other dwellings,Other dwellings,E12000005,West Midlands,2009,Q1
178490.6437219228,Other dwellings,Other dwellings,E12000005,West Midlands,2009,Q2
194064.594079937,Other dwellings,Other dwellings,E12000005,West Midlands,2009,Q3
189046.1242377949,Other dwellings,Other dwellings,E12000005,West Midlands,2009,Q4
201735.4177924765,Other dwellings,Other dwellings,E12000005,West Midlands,2010,Q1
201315.39220252857,Other dwellings,Other dwellings,E12000005,West Midlands,2010,Q2
206933.41657536334,Other dwellings,Other dwellings,E12000005,West Midlands,2010,Q3
1992877239846003,Other dwellings,Other dwellings,E12000005,West Midlands,2010,Q4
184454.7122284736,Other dwellings,Other dwellings,E12000005,West Midlands,2011,Q1
188066.50062465188,Other dwellings,Other dwellings,E12000005,West Midlands,2011,Q2
193949.63118548912,Other dwellings,Other dwellings,E12000005,West Midlands,2011,Q3
189560.17333333334,Other dwellings,Other dwellings,E12000005,West Midlands,2011,Q4
1846612808777694,Other dwellings,Other dwellings,E12000005,West Midlands,2012,Q1
185267.62399500338,Other dwellings,Other dwellings,E12000005,West Midlands,2012,Q2
187932.39683333333,Other dwellings,Other dwellings,E12000005,West Midlands,2012,Q3
190064.514,Other dwellings,Other dwellings,E12000005,West Midlands,2012,Q4
184880.55827084754,Other dwellings,Other dwellings,E12000005,West Midlands,2013,Q1
182358.18089799312,Other dwellings,Other dwellings,E12000005,West Midlands,2013,Q2
194254.4524417748,Other dwellings,Other dwellings,E12000005,West Midlands,2013,Q3
196811.96201938452,Other dwellings,Other dwellings,E12000005,West Midlands,2013,Q4
194348.6858,Other dwellings,Other dwellings,E12000005,West Midlands,2014,Q1
200995.75825848422,Other dwellings,Other dwellings,E12000005,West Midlands,2014,Q2
207312.88455657347,Other dwellings,Other dwellings,E12000005,West Midlands,2014,Q3
205903.66666666666,Other dwellings,Other dwellings,E12000005,West Midlands,2014,Q4
202177.66666666666,Other dwellings,Other dwellings,E12000005,West Midlands,2015,Q1
202286.33333333334,Other dwellings,Other dwellings,E12000005,West Midlands,2015,Q2
217990.33333333334,Other dwellings,Other dwellings,E12000005,West Midlands,2015,Q3
213851,Other dwellings,Other dwellings,E12000005,West Midlands,2015,Q4
213371.8593605376,Other dwellings,Other dwellings,E12000005,West Midlands,2016,Q1
204705.6735809578,Other dwellings,Other dwellings,E12000005,West Midlands,2016,Q2
223553.58059772264,Other dwellings,Other dwellings,E12000005,West Midlands,2016,Q3
2238754738778542,Other dwellings,Other dwellings,E12000005,West Midlands,2016,Q4
210414.19687204927,Other dwellings,Other dwellings,E12000005,West Midlands,2017,Q1
214461.56821161267,Other dwellings,Other dwellings,E12000005,West Midlands,2017,Q2
223609.3352027263,Other dwellings,Other dwellings,E12000005,West Midlands,2017,Q3
219611.49648083805,Other dwellings,Other dwellings,E12000005,West Midlands,2017,Q4
216352.73053773734,Other dwellings,Other dwellings,E12000005,West Midlands,2018,Q1
222329.882756692,Other dwellings,Other dwellings,E12000005,West Midlands,2018,Q2
228701.1235644213,Other dwellings,Other dwellings,E12000005,West Midlands,2018,Q3
227779.5283816715,Other dwellings,Other dwellings,E12000005,West Midlands,2018,Q4
216193.46481689787,Other dwellings,Other dwellings,E12000005,West Midlands,2019,Q1
220075.33333333334,Other dwellings,Other dwellings,E12000005,West Midlands,2019,Q2
226583.66666666666,Other dwellings,Other dwellings,E12000005,West Midlands,2019,Q3
227204.33333333334,Other dwellings,Other dwellings,E12000005,West Midlands,2019,Q4
225565.33333333334,Other dwellings,Other dwellings,E12000005,West Midlands,2020,Q1
221796.33333333334,Other dwellings,Other dwellings,E12000005,West Midlands,2020,Q2
248048,Other dwellings,Other dwellings,E12000005,West Midlands,2020,Q3
267909.6666666667,Other dwellings,Other dwellings,E12000005,West Midlands,2020,Q4
281958.6666666667,Other dwellings,Other dwellings,E12000005,West Midlands,2021,Q1
275662,Other dwellings,Other dwellings,E12000005,West Midlands,2021,Q2
241940,Other dwellings,Other dwellings,E12000005,West Midlands,2021,Q3
253371.66666666666,Other dwellings,Other dwellings,E12000005,West Midlands,2021,Q4
261070,Other dwellings,Other dwellings,E12000005,West Midlands,2022,Q1
269754.3333333333,Other dwellings,Other dwellings,E12000005,West Midlands,2022,Q2
284580,Other dwellings,Other dwellings,E12000005,West Midlands,2022,Q3
282282,Other dwellings,Other dwellings,E12000005,West Midlands,2022,Q4
268462,Other dwellings,Other dwellings,E12000005,West Midlands,2023,Q1
63176,Other dwellings,Other dwellings,E12000006,East of England,1992,Q2
65220,Other dwellings,Other dwellings,E12000006,East of England,1992,Q3
60973,Other dwellings,Other dwellings,E12000006,East of England,1992,Q4
62875,Other dwellings,Other dwellings,E12000006,East of England,1993,Q1
64587,Other dwellings,Other dwellings,E12000006,East of England,1993,Q2
67924,Other dwellings,Other dwellings,E12000006,East of England,1993,Q3
64092,Other dwellings,Other dwellings,E12000006,East of England,1993,Q4
65630,Other dwellings,Other dwellings,E12000006,East of England,1994,Q1
66266,Other dwellings,Other dwellings,E12000006,East of England,1994,Q2
69055,Other dwellings,Other dwellings,E12000006,East of England,1994,Q3
67673,Other dwellings,Other dwellings,E12000006,East of England,1994,Q4
64903,Other dwellings,Other dwellings,E12000006,East of England,1995,Q1
65690,Other dwellings,Other dwellings,E12000006,East of England,1995,Q2
67650,Other dwellings,Other dwellings,E12000006,East of England,1995,Q3
70610,Other dwellings,Other dwellings,E12000006,East of England,1995,Q4
65935,Other dwellings,Other dwellings,E12000006,East of England,1996,Q1
68051,Other dwellings,Other dwellings,E12000006,East of England,1996,Q2
76680,Other dwellings,Other dwellings,E12000006,East of England,1996,Q3
70219,Other dwellings,Other dwellings,E12000006,East of England,1996,Q4
71758,Other dwellings,Other dwellings,E12000006,East of England,1997,Q1
80414,Other dwellings,Other dwellings,E12000006,East of England,1997,Q2
81245,Other dwellings,Other dwellings,E12000006,East of England,1997,Q3
77469,Other dwellings,Other dwellings,E12000006,East of England,1997,Q4
76436,Other dwellings,Other dwellings,E12000006,East of England,1998,Q1
84560,Other dwellings,Other dwellings,E12000006,East of England,1998,Q2
88795,Other dwellings,Other dwellings,E12000006,East of England,1998,Q3
89533,Other dwellings,Other dwellings,E12000006,East of England,1998,Q4
86143,Other dwellings,Other dwellings,E12000006,East of England,1999,Q1
89604,Other dwellings,Other dwellings,E12000006,East of England,1999,Q2
93363,Other dwellings,Other dwellings,E12000006,East of England,1999,Q3
102439,Other dwellings,Other dwellings,E12000006,East of England,1999,Q4
102381,Other dwellings,Other dwellings,E12000006,East of England,2000,Q1
106080,Other dwellings,Other dwellings,E12000006,East of England,2000,Q2
109929,Other dwellings,Other dwellings,E12000006,East of England,2000,Q3
